id_order_header,ppkb_code,company_name,location_from_name,location_to_name
2021337,251901041626,"NUGRAHA SAMUDERA SEJAHTERA, PT",TERSUS BAYAN RESOURCES TBK. (SINYIUR),AREA LABUH ZONA 3B
2021330,251901042275,RAJAWALI PELITA  SAMUDERA PT.,AREA LABUH ZONA 3A,AREA LABUH ZONA 7
2021334,251901042275,RAJAWALI PELITA  SAMUDERA PT.,AREA LABUH ZONA 3A,AREA LABUH ZONA 7
2021333,251901042275,RAJAWALI PELITA  SAMUDERA PT.,AREA LABUH ZONA 3A,AREA LABUH ZONA 7
2021332,251901042275,RAJAWALI PELITA  SAMUDERA PT.,AREA LABUH ZONA 3A,AREA LABUH ZONA 7
2021331,251901042275,RAJAWALI PELITA  SAMUDERA PT.,AREA LABUH ZONA 3A,AREA LABUH ZONA 7
2021327,250101012356,PT INDO CONTAINER LINES,Area Labuh ZONA D AREA LABUH KAPAL CONTAINER LOA S/D 140 M,OPERASI TERMINAL I - KADE 009
2021324,255701021638,PT. MASADA JAYA LINES,LAUT,JETTY 2 BBM
2021323,255701021574,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,STS TG PETANG,REDE BATULICIN
2021321,255701021388,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,STS BUNATI,DERMAGA BORNEO INDOBARA
2021319,255701021392,"PELAYARAN LAKSITA ADITYA PARAMA, PT",STS BUNATI,DERMAGA BORNEO INDOBARA
2021295,253301000782,"BAHARI KURNIA AGENCY, PT",LAUT,DERMAGA II
2021293,255701021467,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,STS BUNATI,DERMAGA BORNEO INDOBARA
2021305,255701021418,"PELAYARAN LAKSITA ADITYA PARAMA, PT",STS BUNATI,DERMAGA BORNEO INDOBARA
2021304,251301017296,"TANTO INTIM LINE, PT",LAUT,DERMAGA BERLIAN
2021303,255701021416,"PELAYARAN LAKSITA ADITYA PARAMA, PT",STS BUNATI,DERMAGA BORNEO INDOBARA
2021300,255701021446,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,STS BUNATI,DERMAGA BORNEO INDOBARA
2021299,250101012360,PT GLOBAL INTERNUSA LINES,Area Labuh ZONA E AREA LABUH KAPAL GENERAL CARGO LOA S/D 140 M,OPERASI TERMINAL I - EKA NURI I
2021255,255801018002,"PERTAMINA TRANS KONTINENTAL, PT JAKARTA",LABUH REDE,LAUT
2021253,250101012237,PT. PERTAMINA TRANS KONTINENTAL,PT. PERTAMINA MARINE REGION III JAKARTA - KADE PMB II,Area Labuh ZONA A KAPAL-KAPAL TANKER KECIL
2021252,252501032343,"TERA LOGISTIC INDONESIA, PT",LAUT,REDE TRISAKTI
2021251,252501032265,"INDO CONTAINER LINES, PT",REDE TRISAKTI,TPKB CC1
2021250,255801018146,"PERTAMINA TRANS KONTINENTAL, PT JAKARTA",LABUH REDE,LAUT
2021287,251901039241,PT. PELAYARAN DUTA LINTAS SAMUDERA,TERSUS PT. CRISTIAN EKA PRATAMA,AREA LABUH ZONA 2
2021292,251901039241,PT. PELAYARAN DUTA LINTAS SAMUDERA,TERSUS PT. CRISTIAN EKA PRATAMA,AREA LABUH ZONA 2
2021291,251901039241,PT. PELAYARAN DUTA LINTAS SAMUDERA,TERSUS PT. CRISTIAN EKA PRATAMA,AREA LABUH ZONA 2
2021290,251901039241,PT. PELAYARAN DUTA LINTAS SAMUDERA,TERSUS PT. CRISTIAN EKA PRATAMA,AREA LABUH ZONA 2
2021289,251901039241,PT. PELAYARAN DUTA LINTAS SAMUDERA,TERSUS PT. CRISTIAN EKA PRATAMA,AREA LABUH ZONA 2
2021288,251901039241,PT. PELAYARAN DUTA LINTAS SAMUDERA,TERSUS PT. CRISTIAN EKA PRATAMA,AREA LABUH ZONA 2
2021286,250101012337,PT. SALAM PACIFIC INDONESIA LINES,CAR TERMINAL - TPT 5,LAUT
2021285,251401007628,"SAFINAH SAMUDERA SHIPPING, PT",PT SATYA AMERTA HAVENPORT (KD),LAUT(KOLONODALE)
2021284,250101012238,RAFFAZA SAMUDERA INDONESIA,Area Labuh ZONA B AREA LABUH KAPAL TB DAN TONGKANG,OPERASI TERMINAL I - KADE 004
2021282,255801018214,"PERTAMINA TRANS KONTINENTAL, PT JAKARTA",LABUH REDE,LABUH OUTER BOOY
2021281,252501032342,"TERA LOGISTIC INDONESIA, PT",LAUT,REDE TRISAKTI
2021278,253201001580,"JEMBATAN NUSANTARA, PT",DERMAGA APBN,LAUT
2021274,251901042297,"PELAYARAN NIAGA BARU, PT",LAUT,AREA LABUH ZONA 5
2021277,251901042297,"PELAYARAN NIAGA BARU, PT",LAUT,AREA LABUH ZONA 5
2021276,251901042297,"PELAYARAN NIAGA BARU, PT",LAUT,AREA LABUH ZONA 5
2021275,251901042297,"PELAYARAN NIAGA BARU, PT",LAUT,AREA LABUH ZONA 5
2021268,255801018256,PT. KINGSHIN MARITIM AGENSI,LABUH REDE ZONA 2,TUKS PT. DERMAGA PERKASA PRATAMA
2021265,252501032338,"TERA LOGISTIC INDONESIA, PT",LAUT,REDE TRISAKTI
2021247,255801018366,"PERTAMINA TRANS KONTINENTAL, PT JAKARTA",LAUT,LABUH STS (K)
2021246,252501032340,"TERA LOGISTIC INDONESIA, PT",LAUT,REDE TRISAKTI
2021244,250101012241,RAFFAZA SAMUDERA INDONESIA,Area Labuh ZONA B AREA LABUH KAPAL TB DAN TONGKANG,OPERASI TERMINAL I - KADE 004
2021243,252801001310,"TEMAS SHIPPING, PT","AREA LABUH KAPAL B3, KAPAL CONTAINER, KAPAL TANKER, KAPAL CARGO, KAPAL PENUMPANG, KAPAL KAYU",TERMINAL PETIKEMAS
2021242,250101012338,PT BUKIT MERAPIN NUSANTARA LINES,OPERASI TERMINAL II - KADE 107,LAUT
2021241,252501032350,PT Aditya Kurnia Mandiri,LAUT,REDE TRISAKTI
2021240,255801018209,"ORELA BAHARI MANDIRI, PT",LABUH REDE ZONA 3,TUKS PT. KUTAI REFINERY NUSANTARA
2021235,251901041082,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021238,251901041082,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021237,251901041082,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021236,251901041082,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021233,252501032336,"TERA LOGISTIC INDONESIA, PT",LAUT,REDE TRISAKTI
2021229,251901042312,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021232,251901042312,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021231,251901042312,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021230,251901042312,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021226,251901042281,"PELAYARAN MARINDO PACIFIC, PT",LAUT KUALA SAMBOJA,JETTY AMBARAWANG
2021224,251901041382,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021223,251901041382,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021222,251901041382,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021221,251901041382,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021220,251901041382,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021261,251901041998,"PELAYARAN NIAGA BARU, PT",LAUT,AREA LABUH ZONA 5
2021264,251901041998,"PELAYARAN NIAGA BARU, PT",LAUT,AREA LABUH ZONA 5
2021263,251901041998,"PELAYARAN NIAGA BARU, PT",LAUT,AREA LABUH ZONA 5
2021262,251901041998,"PELAYARAN NIAGA BARU, PT",LAUT,AREA LABUH ZONA 5
2021214,251901042035,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021217,251901042035,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021216,251901042035,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021215,251901042035,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021207,251901041277,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021210,251901041277,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021209,251901041277,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021208,251901041277,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 5
2021205,252501032354,"BARUNA PASIFIK RAYA, PT",LAUT,REDE TRISAKTI
2021204,252501032333,"TERA LOGISTIC INDONESIA, PT",LAUT,REDE TRISAKTI
2021174,251901041119,"PELAYARAN DALAM NEGERI WIRATIMUR SEGARA, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021198,251901041119,"PELAYARAN DALAM NEGERI WIRATIMUR SEGARA, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021177,251901041119,"PELAYARAN DALAM NEGERI WIRATIMUR SEGARA, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021176,251901041119,"PELAYARAN DALAM NEGERI WIRATIMUR SEGARA, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021175,251901041119,"PELAYARAN DALAM NEGERI WIRATIMUR SEGARA, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021173,250301002845,PT. PERTAMINA TRANS KONTINENTAL,PERTAMINA,LAUT (PANJANG)
2021172,252501032352,"TANTO INTIM LINE - PELNUS, PT",LAUT,REDE TRISAKTI
2021194,251901041259,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021218,251901041259,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021197,251901041259,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021196,251901041259,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021195,251901041259,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021187,251901041278,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021191,251901041278,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021190,251901041278,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021189,251901041278,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021188,251901041278,"DANNY SAMUDERA RAYA LINE, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 8
2021181,252501032334,"TERA LOGISTIC INDONESIA, PT",LAUT,REDE TRISAKTI
2021180,253601000260,"PERTAMINA TRANS KONTINENTAL, PT",LAUT,DERMAGA PERTAMINA
2021178,254001005555,PELAYARAN NASIONAL INDONESIA,PT. KARIMUN MARINE SHIPYARD DERMAGA 1,ANCHORAGE AREA
2021154,251901042351,PT. ERSIHAN SATYAPRATAMA,AREA LABUH ZONA 3A,AREA LABUH ZONA 3B
2021156,251901042351,PT. ERSIHAN SATYAPRATAMA,AREA LABUH ZONA 3A,AREA LABUH ZONA 3B
2021155,251901042351,PT. ERSIHAN SATYAPRATAMA,AREA LABUH ZONA 3A,AREA LABUH ZONA 3B
2021151,253201001583,"PELAYARAN NASIONAL INDONESIA, PT KANTOR PUSAT",DERMAGA NUSANTARA,LAUT
2021150,251901018886,"KARYA BINTANG TIMUR, PT",TUKS INDONESIA ENERGY DINAMIKA,AREA LABUH ZONA 5
2021171,255201009054,PT ARMADA MARITIM NUSANTARA,LAUT,TUKS PT. RIAU ANDALAN PULP & PAPER 2
2021168,250301002922,PT. PERTAMINA TRANS KONTINENTAL,AREA LABUH Kapal - kapal Tanker dan sejenisnya,PERTAMINA
2021163,251901042018,PRAWIRA LAUTAN PRIYATAMA PT,AREA LABUH PERAIRAN STS (SHIP TO SHIP TRANSFER) MUARA BERAU,AREA LABUH ZONA 3B
2021165,251901042018,PRAWIRA LAUTAN PRIYATAMA PT,AREA LABUH PERAIRAN STS (SHIP TO SHIP TRANSFER) MUARA BERAU,AREA LABUH ZONA 3B
2021164,251901042018,PRAWIRA LAUTAN PRIYATAMA PT,AREA LABUH PERAIRAN STS (SHIP TO SHIP TRANSFER) MUARA BERAU,AREA LABUH ZONA 3B
2021162,252501032349,"MULTI LINE BORNEO, PT",LAUT,REDE TRISAKTI
2021159,251901021739,"KARYA BINTANG TIMUR, PT",TUKS INDONESIA ENERGY DINAMIKA,AREA LABUH ZONA 5
2021158,251901042082,"GEMA SOERYA SAMODRA, PT",AREA LABUH PERAIRAN STS (SHIP TO SHIP TRANSFER) MUARA BERAU,AREA LABUH ZONA 3A
2021115,251901042348,PT. ERSIHAN SATYAPRATAMA,AREA LABUH ZONA 3A,AREA LABUH ZONA 3B
2021117,251901042348,PT. ERSIHAN SATYAPRATAMA,AREA LABUH ZONA 3A,AREA LABUH ZONA 3B
2021116,251901042348,PT. ERSIHAN SATYAPRATAMA,AREA LABUH ZONA 3A,AREA LABUH ZONA 3B
2021111,250101012313,PT. TEMAS SHIPPING,Area Labuh ZONA D AREA LABUH KAPAL CONTAINER LOA S/D 140 M,OPERASI TERMINAL III - KADE 212 (PI)
2021147,250601001262,PT. LINTAS SAMUDERA BAHARI,Dermaga 02,AREA LABUH
2021146,255701021573,PT. PERUSAHAAN PELAYARAN GURITA LINTAS LINTAS SAMUDERA,DERMAGA BORNEO INDOBARA,LAUT SATUI
2021144,251001004976,PT. CAHAYA ARSIPELAGO INDONESIA,PT. MUSIM MAS,REDE UMUM WIL JAMBI
2021141,251901041203,"PELAYARAN PRIMA SAMUDERA JAYA, PT",AREA LABUH ZONA 3B,AREA LABUH ZONA 3A
2021143,251901041203,"PELAYARAN PRIMA SAMUDERA JAYA, PT",AREA LABUH ZONA 3B,AREA LABUH ZONA 3A
2021142,251901041203,"PELAYARAN PRIMA SAMUDERA JAYA, PT",AREA LABUH ZONA 3B,AREA LABUH ZONA 3A
2021136,251901042320,PT. ERSIHAN SATYAPRATAMA,AREA LABUH ZONA 3A,AREA LABUH ZONA 3B
2021138,251901042320,PT. ERSIHAN SATYAPRATAMA,AREA LABUH ZONA 3A,AREA LABUH ZONA 3B
2021137,251901042320,PT. ERSIHAN SATYAPRATAMA,AREA LABUH ZONA 3A,AREA LABUH ZONA 3B
2021134,250601001300,PT. PELAYARAN LIGITA JAYA,LAUT TANJUNG PANDAN,Dermaga 04
2021132,251001004991,PT. CAHAYA ARSIPELAGO INDONESIA,BUKIT TAMBI,REDE UMUM WIL JAMBI
2021128,251901041607,"PELAYARAN PRIMA SAMUDERA JAYA, PT",AREA LABUH ZONA 3B,AREA LABUH ZONA 3A
2021130,251901041607,"PELAYARAN PRIMA SAMUDERA JAYA, PT",AREA LABUH ZONA 3B,AREA LABUH ZONA 3A
2021129,251901041607,"PELAYARAN PRIMA SAMUDERA JAYA, PT",AREA LABUH ZONA 3B,AREA LABUH ZONA 3A
2021124,250301002907,PT. PERTAMINA TRANS KONTINENTAL,PERTAMINA,LAUT (PANJANG)
2021122,251901037985,"MANNA BERKAT SEJATI, PT ",TERSUS (UMUM) PT. RENCANA MULIA BARATAMA,AREA LABUH ZONA 2
2021121,251901037985,"MANNA BERKAT SEJATI, PT ",TERSUS (UMUM) PT. RENCANA MULIA BARATAMA,AREA LABUH ZONA 2
2021120,251901037985,"MANNA BERKAT SEJATI, PT ",TERSUS (UMUM) PT. RENCANA MULIA BARATAMA,AREA LABUH ZONA 2
2021123,251901037985,"MANNA BERKAT SEJATI, PT ",TERSUS (UMUM) PT. RENCANA MULIA BARATAMA,AREA LABUH ZONA 2
2021106,250901003122,"BAHTERA SETIA, PT",DERMAGA PELABUHAN DALAM,"AREA LABUH B3, KAPAL TANKER, KARGO, PENUMPANG, KAYU"
2021104,257001003578,"PT. PELAYARAN INTI IRAMA LINES, PT",LAUT (TUAL),DERMAGA MULTIPURPOSE (TUAL)
2021103,250601001301,PT. LINTAS SAMUDERA BAHARI,LAUT TANJUNG PANDAN,Dermaga 02
2021102,252501032116,MEGA BAHTERA KENCANA PT,AMBANG LUAR,LAUT
2021101,259201001002,JANGKAR EMAS SAMUDERA,LAUT,STS Area B Sangkulirang
2021100,258501002366,BERKAH SAMUDERA BERJAYA,PELABUHAN UMUM LOK TUAN DERMAGA II,AREA LABUH ZONA 2 LOKTUAN
2021099,255701021266,PT. IDT TRANS AGENCY,JETTY MUAT,REDE MEKARPUTIH
2021077,258501002468,"BONSANG SAMUDERA SEJAHTERA, PT",LAUT,AREA LABUH ZONA 2 TANJUNG LAUT
2021076,253201001575,PT. PANCA MERAK SAMUDERA,LAUT,DERMAGA NUSANTARA
2021074,253501003313,"SAMUDERA ENERGI TANGGUH, PT KANTOR PUSAT",DERMAGA PETROSEA,AREA LABUH KAPAL BARANG / UMUM
2021072,258301004652,PT PERTAMINA TRANS KONTINENTAL,TUKS PT. PERTAMINA (PERSERO),REDE UMUM
2021071,252101005171,"WIRA LAUT KALTARA, PT",REDE TARAKAN,MALUNDUNG
2021069,251001004685,PT. PELAYARAN NASIONAL MITRA SAMUDERA PERKASA,CV. MITRA PASIRINDO 1,REDE UMUM WIL JAMBI
2021068,253501003318,"PELAYARAN NASIONAL INDONESIA, PT KANTOR PUSAT",AREA LABUH KAPAL PENUMPANG,TERMINAL UMUM - DERMAGA PENUMPANG
2021119,253501003317,"CEMERLANG MAKMUR ABADI, PT",LAUT,AREA LABUH KAPAL BARANG / UMUM
2021093,251901036895,"MANNA BERKAT SEJATI, PT ",TERSUS (UMUM) PT. RENCANA MULIA BARATAMA,AREA LABUH ZONA 2
2021096,251901036895,"MANNA BERKAT SEJATI, PT ",TERSUS (UMUM) PT. RENCANA MULIA BARATAMA,AREA LABUH ZONA 2
2021095,251901036895,"MANNA BERKAT SEJATI, PT ",TERSUS (UMUM) PT. RENCANA MULIA BARATAMA,AREA LABUH ZONA 2
2021094,251901036895,"MANNA BERKAT SEJATI, PT ",TERSUS (UMUM) PT. RENCANA MULIA BARATAMA,AREA LABUH ZONA 2
2021092,255701021637,PT. PELAYARAN TRI TUNGGAL SAMUDERA BAHAGIA,REDE BATULICIN,STAGEN JETTY 3
2021090,252501032347,"BARITO SAMUDRA SEJAHTERA, PT",LAUT,REDE TRISAKTI
2021089,252501032266,"FAJAR BAHARI NUSANTARA, PT",LAUT,KADE TRISAKTI
2021088,252501032266,"FAJAR BAHARI NUSANTARA, PT",LAUT,KADE TRISAKTI
2021084,251401007436,"PELAYARAN USAHAGAS ELPINDO, PT",SAMBULI KHS,LAUT(KENDARI)
2021082,250501006188,PT. FAJAR BAHARI NUSANTARA,Area labuh (Zona D) Untuk Kapal Container dan General Cargo LOA ≤ 100 Meter,Dermaga 01 - Terminal Penumpang /RORO
2021081,257701000541,MENTARI MAS MULTIMODA,DERMAGA WILKER TANGKIAN,LAUT LUWUK
2021080,258701003377,SAMUDERA AGENCIES INDONESIA,BNCT TERMINAL A,LAUT
2021079,255701021178,PT. PERTAMINA TRANS KONTINENTAL,LAUT,JETTY 1 BBM
2021078,251801004548,"TANTO INTIM LINES, PT",LAUT,HATTA - PETIKEMAS
2021067,251101001179,PT. BAHTERA CIPTA MANUNGGAL,LABUH,AREA LABUH DALAM DLKp
2021065,253101001508,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",LAUT,NUSANTARA II
2021064,255801018363,DAMAI LAUTAN NUSANTARA,LAUT,PT. PELINDO SEMAYANG
2021063,250101012334,PT. BAHARI EKA NUSANTARA,Area Labuh ZONA F AREA LABUH KAPAL CONTAINER LOA > 140 M,OPERASI TERMINAL III - KADE 305
2021060,251901042292,"RUSIANTO BERSAUDARA, PT",LAUT,AREA LABUH ZONA 3A
2021058,251901042263,"RUSIANTO BERSAUDARA, PT",LAUT,AREA LABUH ZONA 3A
2021056,251801004542,"TANTO INTIM LINES, PT",LAUT,HATTA - PETIKEMAS
2021055,251901042142,"RUSIANTO BERSAUDARA, PT",LAUT,AREA LABUH ZONA 3A
2021053,251901042124,"RUSIANTO BERSAUDARA, PT",LAUT,AREA LABUH ZONA 3A
